transaction_id,customer_id,customer_name,product_id,price,product_name,category,purchase_location,city,transaction_date,quantity,payment_method,discount,email,phone,payment_status,masked_email,masked_phone,revenue,year,month,product_name_master,category_master,price_master
20,576,Angela Weiss,104,8000.0,Shoes,Clothing,online,Delhi,2025-07-05,1,Card,0.15,AngelaWeiss@yahoo.com,6433163539,successful,A***@yahoo.com,******3539,6800.0,2025,July,Shoes,Clothing,8000
21,256,Nicole Williams,109,65000.0,Refrigerator,Home Appliances,online,Chennai,2025-12-10,3,UPI,0.05,Nicole72@gmail.com,9261161732,successful,N***@gmail.com,******1732,185250.0,2025,December,Refrigerator,Home Appliances,65000
22,737,Kimberly Lloyd,109,65000.0,Refrigerator,Home Appliances,online,Delhi,2025-03-11,4,UPI,0.4,KimberlyLloyd@gmail.com,6053522093,successful,K***@gmail.com,******2093,156000.0,2025,March,Refrigerator,Home Appliances,65000
23,104,Amanda Castillo,108,15000.0,Mixer Grinder,Home Appliances,online,Hyderabad,2026-04-15,2,UPI,0.25,AmandaCastillo@yahoo.com,9259539548,successful,A***@yahoo.com,******9548,22500.0,2026,April,Mixer Grinder,Home Appliances,15000
24,799,Stephanie Dunn,108,15000.0,Mixer Grinder,Home Appliances,offline,Delhi,2025-05-16,3,Cash,0.25,StephanieDunn@gmail.com,7485500744,successful,S***@gmail.com,******0744,33750.0,2025,May,Mixer Grinder,Home Appliances,15000
25,249,Alyssa Henderson,102,70000.0,Phone,Electronics,online,Bangalore,2025-08-29,1,Card,0.3,Alyssa98@gmail.com,9956125109,successful,A***@gmail.com,******5109,49000.0,2025,August,Phone,Electronics,70000
26,149,Ashley Mejia,106,80000.0,Sofa,Furniture,offline,Chennai,2026-01-28,1,Cash,0.05,AshleyMejia@outlook.com,6877766443,successful,A***@outlook.com,******6443,76000.0,2026,January,Sofa,Furniture,80000
27,927,Bradley Sparks,105,45000.0,Tv,Electronics,offline,Chennai,2025-11-13,5,UPI,0.2,BradleySparks@gmail.com,8246590514,successful,B***@gmail.com,******0514,180000.0,2025,November,TV,Electronics,45000
28,868,Timothy Henderson,107,50000.0,Dining Table,Furniture,offline,Hyderabad,2025-11-12,1,Card,0.3,Timothy78@gmail.com,6565238386,successful,T***@gmail.com,******8386,35000.0,2025,November,Dining Table,Furniture,50000
29,1,Karen Pollard,109,65000.0,Refrigerator,Home Appliances,online,Hyderabad,2025-06-28,2,Card,0.3,KarenPollard@yahoo.com,7148256363,successful,K***@yahoo.com,******6363,91000.0,2025,June,Refrigerator,Home Appliances,65000
30,980,Alexis Andrews,106,80000.0,Sofa,Furniture,online,Delhi,2025-07-10,5,Card,0.05,Alexis8@gmail.com,9601673841,successful,A***@gmail.com,******3841,380000.0,2025,July,Sofa,Furniture,80000
31,455,Morgan Wright,107,50000.0,Dining Table,Furniture,offline,Bangalore,2025-06-03,4,NetBanking,0.3,MorganWright@yahoo.com,9826454087,successful,M***@yahoo.com,******4087,140000.0,2025,June,Dining Table,Furniture,50000
32,367,Joshua Tate,105,45000.0,Tv,Electronics,offline,Delhi,2025-11-14,4,Cash,0.4,JoshuaTate@outlook.com,9891343716,successful,J***@outlook.com,******3716,108000.0,2025,November,TV,Electronics,45000
34,968,Keith Davis,107,50000.0,Dining Table,Furniture,offline,Hyderabad,2025-11-09,4,Cash,0.15,KeithDavis@yahoo.com,6310144512,successful,K***@yahoo.com,******4512,170000.0,2025,November,Dining Table,Furniture,50000
35,390,Erika Knight,110,45000.0,Microwave,Home Appliances,online,Mumbai,2025-05-25,2,Card,0.1,Erika14@gmail.com,8802577025,successful,E***@gmail.com,******7025,81000.0,2025,May,Microwave,Home Appliances,45000
36,528,Kerri Rodriguez,102,70000.0,Phone,Electronics,offline,Chennai,2025-07-19,2,NetBanking,0.1,Kerri90@gmail.com,7758070493,successful,K***@gmail.com,******0493,126000.0,2025,July,Phone,Electronics,70000
37,46,Mallory Boyd,103,1300.0,Shirt,Clothing,offline,Delhi,2026-01-07,3,UPI,0.1,Mallory7@gmail.com,6910302449,successful,M***@gmail.com,******2449,3510.0,2026,January,Shirt,Clothing,1300
38,437,Carrie Landry,104,8000.0,Shoes,Clothing,offline,Delhi,2026-01-21,1,Cash,0.25,CarrieLandry@outlook.com,9913542206,successful,C***@outlook.com,******2206,6000.0,2026,January,Shoes,Clothing,8000
39,234,Kristin Taylor,104,8000.0,Shoes,Clothing,offline,Delhi,2025-12-01,1,Cash,0.1,KristinTaylor@outlook.com,6166223410,successful,K***@outlook.com,******3410,7200.0,2025,December,Shoes,Clothing,8000
40,391,Catherine Beard,103,1300.0,Shirt,Clothing,offline,Mumbai,2026-08-03,2,NetBanking,0.3,Catherine33@gmail.com,9225547305,successful,C***@gmail.com,******7305,1819.9999999999998,2026,August,Shirt,Clothing,1300
41,743,Dorothy Davis,103,1300.0,Shirt,Clothing,online,Delhi,2025-12-22,3,NetBanking,0.1,DorothyDavis@yahoo.com,8478683600,successful,D***@yahoo.com,******3600,3510.0,2025,December,Shirt,Clothing,1300
42,17,Duane Hall,105,45000.0,Tv,Electronics,online,Bangalore,2025-07-11,2,Cash,0.3,DuaneHall@outlook.com,7467001149,successful,D***@outlook.com,******1149,62999.99999999999,2025,July,TV,Electronics,45000
43,861,Tim Brock,105,45000.0,Tv,Electronics,offline,Bangalore,2025-05-26,5,Card,0.4,TimBrock@outlook.com,8893431491,successful,T***@outlook.com,******1491,135000.0,2025,May,TV,Electronics,45000
44,213,Nancy Lee,104,8000.0,Shoes,Clothing,offline,Hyderabad,2025-05-14,3,Card,0.25,NancyLee@yahoo.com,8856457242,successful,N***@yahoo.com,******7242,18000.0,2025,May,Shoes,Clothing,8000
45,220,Maria Walker,104,8000.0,Shoes,Clothing,offline,Bangalore,2025-11-23,4,Cash,0.15,MariaWalker@gmail.com,7332505210,successful,M***@gmail.com,******5210,27200.0,2025,November,Shoes,Clothing,8000
46,463,Kevin Cruz,104,8000.0,Shoes,Clothing,online,Delhi,2025-04-27,5,UPI,0.1,KevinCruz@gmail.com,8067854173,successful,K***@gmail.com,******4173,36000.0,2025,April,Shoes,Clothing,8000
47,429,Michael Welch,101,250000.0,Laptop,Electronics,offline,Delhi,2025-08-27,4,NetBanking,0.1,MichaelWelch@gmail.com,9639123250,successful,M***@gmail.com,******3250,900000.0,2025,August,Laptop,Electronics,250000
48,222,Emily Hernandez,108,15000.0,Mixer Grinder,Home Appliances,offline,Delhi,2025-07-11,1,Cash,0.25,EmilyHernandez@gmail.com,8919398256,successful,E***@gmail.com,******8256,11250.0,2025,July,Mixer Grinder,Home Appliances,15000
49,971,Larry Ramos,103,1300.0,Shirt,Clothing,offline,Chennai,2025-07-10,5,UPI,0.2,Larry38@gmail.com,8961305114,successful,L***@gmail.com,******5114,5200.0,2025,July,Shirt,Clothing,1300
50,670,Fernando Kelly,106,80000.0,Sofa,Furniture,offline,Chennai,2025-05-31,5,UPI,0.15,FernandoKelly@yahoo.com,8959444911,successful,F***@yahoo.com,******4911,340000.0,2025,May,Sofa,Furniture,80000
51,485,James Harris,107,50000.0,Dining Table,Furniture,online,Delhi,2025-07-12,2,Card,0.1,JamesHarris@yahoo.com,8465057157,successful,J***@yahoo.com,******7157,90000.0,2025,July,Dining Table,Furniture,50000
52,883,Charles David,104,8000.0,Shoes,Clothing,online,Delhi,2025-07-17,1,Card,0.4,CharlesDavid@yahoo.com,6063347922,successful,C***@yahoo.com,******7922,4800.0,2025,July,Shoes,Clothing,8000
53,202,Amanda Reed,103,1300.0,Shirt,Clothing,offline,Delhi,2025-11-03,1,Card,0.15,AmandaReed@yahoo.com,6574367299,successful,A***@yahoo.com,******7299,1105.0,2025,November,Shirt,Clothing,1300
54,817,Nicole Ross,107,50000.0,Dining Table,Furniture,offline,Chennai,2025-07-25,3,Cash,0.25,Nicole68@gmail.com,8278149866,successful,N***@gmail.com,******9866,112500.0,2025,July,Dining Table,Furniture,50000
55,801,Brandi Bryan,104,8000.0,Shoes,Clothing,online,Delhi,2025-10-01,5,UPI,0.3,Brandi31@gmail.com,7456816583,successful,B***@gmail.com,******6583,28000.0,2025,October,Shoes,Clothing,8000
56,284,Erin Richmond,104,8000.0,Shoes,Clothing,offline,Chennai,2026-02-20,2,NetBanking,0.4,ErinRichmond@gmail.com,9295628578,successful,E***@gmail.com,******8578,9600.0,2026,February,Shoes,Clothing,8000
57,72,Michael Wood,105,45000.0,Tv,Electronics,online,Chennai,2025-12-31,5,Cash,0.2,Michael77@gmail.com,8385570077,successful,M***@gmail.com,******0077,180000.0,2025,December,TV,Electronics,45000
57,72,Michael Wood,105,45000.0,Tv,Electronics,online,Chennai,2025-12-31,5,Cash,0.2,Michael77@gmail.com,8385570077,failed,M***@gmail.com,******0077,180000.0,2025,December,TV,Electronics,45000
58,873,Tracy Bass,101,250000.0,Laptop,Electronics,offline,Hyderabad,2025-10-28,3,UPI,0.15,TracyBass@outlook.com,6881058034,successful,T***@outlook.com,******8034,637500.0,2025,October,Laptop,Electronics,250000
59,854,Dennis Dorsey,108,15000.0,Mixer Grinder,Home Appliances,online,Hyderabad,2025-07-13,3,NetBanking,0.15,DennisDorsey@yahoo.com,7070302116,successful,D***@yahoo.com,******2116,38250.0,2025,July,Mixer Grinder,Home Appliances,15000
60,874,Samuel Patel,106,80000.0,Sofa,Furniture,offline,Mumbai,2025-05-20,5,UPI,0.25,Samuel51@gmail.com,6800413067,successful,S***@gmail.com,******3067,300000.0,2025,May,Sofa,Furniture,80000
61,507,Thomas Cameron,104,8000.0,Shoes,Clothing,offline,Delhi,2025-12-23,2,Cash,0.3,ThomasCameron@outlook.com,9216552264,successful,T***@outlook.com,******2264,11200.0,2025,December,Shoes,Clothing,8000
62,736,Lisa Lee,104,8000.0,Shoes,Clothing,offline,Delhi,2025-06-07,4,NetBanking,0.05,Lisa63@gmail.com,7056446221,successful,L***@gmail.com,******6221,30400.0,2025,June,Shoes,Clothing,8000
63,182,Kathleen Castro,107,50000.0,Dining Table,Furniture,offline,Hyderabad,2026-02-25,5,NetBanking,0.35,KathleenCastro@outlook.com,8815269367,successful,K***@outlook.com,******9367,162500.0,2026,February,Dining Table,Furniture,50000
64,341,Cory Alvarado,110,45000.0,Microwave,Home Appliances,online,Mumbai,2025-12-14,3,NetBanking,0.1,CoryAlvarado@outlook.com,7632639155,successful,C***@outlook.com,******9155,121500.0,2025,December,Microwave,Home Appliances,45000
65,937,Nicole Woods,108,15000.0,Mixer Grinder,Home Appliances,online,Mumbai,2025-04-22,2,NetBanking,0.25,NicoleWoods@yahoo.com,9340979075,successful,N***@yahoo.com,******9075,22500.0,2025,April,Mixer Grinder,Home Appliances,15000
66,164,Shawn Stewart,104,8000.0,Shoes,Clothing,offline,Chennai,2025-04-16,2,Card,0.3,ShawnStewart@gmail.com,7161144854,successful,S***@gmail.com,******4854,11200.0,2025,April,Shoes,Clothing,8000
67,188,Allison Oliver,109,65000.0,Refrigerator,Home Appliances,online,Hyderabad,2026-04-04,3,Cash,0.3,AllisonOliver@gmail.com,9833717624,successful,A***@gmail.com,******7624,136500.0,2026,April,Refrigerator,Home Appliances,65000
68,603,Shawn Roberson,104,8000.0,Shoes,Clothing,offline,Chennai,2025-09-30,4,Card,0.15,ShawnRoberson@gmail.com,6400752575,successful,S***@gmail.com,******2575,27200.0,2025,September,Shoes,Clothing,8000
69,656,Adam White,104,8000.0,Shoes,Clothing,online,Hyderabad,2025-08-29,1,NetBanking,0.1,AdamWhite@yahoo.com,9099608407,successful,A***@yahoo.com,******8407,7200.0,2025,August,Shoes,Clothing,8000
70,687,Robert Estrada,110,45000.0,Microwave,Home Appliances,offline,Hyderabad,2026-04-05,1,UPI,0.1,RobertEstrada@yahoo.com,8685839773,successful,R***@yahoo.com,******9773,40500.0,2026,April,Microwave,Home Appliances,45000
71,186,Dawn Garrett,105,45000.0,Tv,Electronics,offline,Chennai,2026-01-23,2,Card,0.3,Dawn29@gmail.com,9627230201,successful,D***@gmail.com,******0201,62999.99999999999,2026,January,TV,Electronics,45000
72,865,Jessica Patterson,102,70000.0,Phone,Electronics,online,Hyderabad,2026-04-07,1,UPI,0.2,JessicaPatterson@outlook.com,9396230460,successful,J***@outlook.com,******0460,56000.0,2026,April,Phone,Electronics,70000
73,523,Emily Cohen,101,250000.0,Laptop,Electronics,offline,Chennai,2026-03-09,4,Card,0.1,EmilyCohen@gmail.com,9199259627,successful,E***@gmail.com,******9627,900000.0,2026,March,Laptop,Electronics,250000
75,729,Elizabeth Hunt,108,15000.0,Mixer Grinder,Home Appliances,online,Mumbai,2025-08-10,1,NetBanking,0.1,ElizabethHunt@outlook.com,8909629121,successful,E***@outlook.com,******9121,13500.0,2025,August,Mixer Grinder,Home Appliances,15000
78,874,Samuel Patel,104,8000.0,Shoes,Clothing,offline,Mumbai,2025-06-11,4,Cash,0.1,Samuel51@gmail.com,6800413067,successful,S***@gmail.com,******3067,28800.0,2025,June,Shoes,Clothing,8000
79,977,Gloria Navarro,102,70000.0,Phone,Electronics,offline,Chennai,2025-05-16,5,UPI,0.3,GloriaNavarro@yahoo.com,7212940862,successful,G***@yahoo.com,******0862,244999.99999999997,2025,May,Phone,Electronics,70000
80,735,Elizabeth Kemp,108,15000.0,Mixer Grinder,Home Appliances,online,Bangalore,2025-06-20,5,Cash,0.05,ElizabethKemp@yahoo.com,6508791868,successful,E***@yahoo.com,******1868,71250.0,2025,June,Mixer Grinder,Home Appliances,15000
81,704,Susan Thomas,107,50000.0,Dining Table,Furniture,offline,Chennai,2026-04-14,5,UPI,0.25,SusanThomas@outlook.com,6067266032,successful,S***@outlook.com,******6032,187500.0,2026,April,Dining Table,Furniture,50000
82,578,Kristi Wilson,101,250000.0,Laptop,Electronics,online,Chennai,2025-06-18,4,NetBanking,0.4,KristiWilson@yahoo.com,6043009323,successful,K***@yahoo.com,******9323,600000.0,2025,June,Laptop,Electronics,250000
82,578,Kristi Wilson,101,250000.0,Laptop,Electronics,online,Chennai,2025-06-18,4,NetBanking,0.4,KristiWilson@yahoo.com,6043009323,failed,K***@yahoo.com,******9323,600000.0,2025,June,Laptop,Electronics,250000
83,11,James Leblanc,110,45000.0,Microwave,Home Appliances,online,Delhi,2025-06-28,3,NetBanking,0.2,James92@gmail.com,8278100360,successful,J***@gmail.com,******0360,108000.0,2025,June,Microwave,Home Appliances,45000
84,379,Andres Stokes,105,45000.0,Tv,Electronics,offline,Mumbai,2025-11-07,5,UPI,0.2,AndresStokes@yahoo.com,8106400361,successful,A***@yahoo.com,******0361,180000.0,2025,November,TV,Electronics,45000
84,379,Andres Stokes,105,45000.0,Tv,Electronics,offline,Mumbai,2025-11-07,5,UPI,0.2,AndresStokes@yahoo.com,8106400361,failed,A***@yahoo.com,******0361,180000.0,2025,November,TV,Electronics,45000
85,108,Andrew Vazquez,101,250000.0,Laptop,Electronics,online,Delhi,2025-08-30,5,Card,0.1,AndrewVazquez@yahoo.com,9590808527,successful,A***@yahoo.com,******8527,1125000.0,2025,August,Laptop,Electronics,250000
86,427,Kelly Mccormick,103,1300.0,Shirt,Clothing,offline,Delhi,2026-01-09,4,NetBanking,0.05,KellyMccormick@outlook.com,6077306970,successful,K***@outlook.com,******6970,4940.0,2026,January,Shirt,Clothing,1300
87,454,Larry Perkins,102,70000.0,Phone,Electronics,offline,Mumbai,2025-11-04,1,Cash,0.15,LarryPerkins@yahoo.com,7903065336,successful,L***@yahoo.com,******5336,59500.0,2025,November,Phone,Electronics,70000
88,975,Jacqueline Doyle,110,45000.0,Microwave,Home Appliances,online,Hyderabad,2026-02-02,3,Card,0.2,JacquelineDoyle@outlook.com,8114950490,successful,J***@outlook.com,******0490,108000.0,2026,February,Microwave,Home Appliances,45000
89,992,William Rose,107,50000.0,Dining Table,Furniture,online,Hyderabad,2025-12-20,5,Cash,0.15,William30@gmail.com,6993050906,successful,W***@gmail.com,******0906,212500.0,2025,December,Dining Table,Furniture,50000
90,439,Billy James,102,70000.0,Phone,Electronics,offline,Mumbai,2026-03-24,3,Card,0.4,BillyJames@outlook.com,8969007874,successful,B***@outlook.com,******7874,126000.0,2026,March,Phone,Electronics,70000
91,645,Joshua Burton,102,70000.0,Phone,Electronics,offline,Mumbai,2026-01-05,1,Cash,0.4,JoshuaBurton@outlook.com,6702016788,successful,J***@outlook.com,******6788,42000.0,2026,January,Phone,Electronics,70000
92,728,Lisa Miller,108,15000.0,Mixer Grinder,Home Appliances,offline,Chennai,2026-03-28,1,NetBanking,0.05,LisaMiller@gmail.com,8704743795,successful,L***@gmail.com,******3795,14250.0,2026,March,Mixer Grinder,Home Appliances,15000
93,403,Taylor Ellison,102,70000.0,Phone,Electronics,offline,Bangalore,2025-12-16,5,UPI,0.15,TaylorEllison@gmail.com,8256289832,successful,T***@gmail.com,******9832,297500.0,2025,December,Phone,Electronics,70000
94,50,Stacey Henderson,104,8000.0,Shoes,Clothing,online,Mumbai,2025-02-11,4,Cash,0.25,Stacey33@gmail.com,6033182385,successful,S***@gmail.com,******2385,24000.0,2025,February,Shoes,Clothing,8000
95,478,Crystal Mejia,107,50000.0,Dining Table,Furniture,online,Mumbai,2025-07-18,1,Cash,0.4,CrystalMejia@outlook.com,8434061187,successful,C***@outlook.com,******1187,30000.0,2025,July,Dining Table,Furniture,50000
96,153,Stephanie Hanna,110,45000.0,Microwave,Home Appliances,offline,Hyderabad,2025-12-27,1,Card,0.15,StephanieHanna@outlook.com,9697218701,successful,S***@outlook.com,******8701,38250.0,2025,December,Microwave,Home Appliances,45000
98,372,Brandon Gordon,105,45000.0,Tv,Electronics,offline,Mumbai,2025-10-31,5,UPI,0.15,Brandon83@gmail.com,7856541702,successful,B***@gmail.com,******1702,191250.0,2025,October,TV,Electronics,45000
99,753,Kelly Ball,102,70000.0,Phone,Electronics,online,Delhi,2025-10-07,3,Card,0.15,KellyBall@gmail.com,6595322869,successful,K***@gmail.com,******2869,178500.0,2025,October,Phone,Electronics,70000
100,864,Cameron Black,109,65000.0,Refrigerator,Home Appliances,online,Chennai,2025-04-20,1,UPI,0.15,CameronBlack@yahoo.com,9938169477,successful,C***@yahoo.com,******9477,55250.0,2025,April,Refrigerator,Home Appliances,65000
101,645,Joshua Burton,102,70000.0,Phone,Electronics,online,Mumbai,2026-02-19,1,Card,0.25,JoshuaBurton@outlook.com,6702016788,successful,J***@outlook.com,******6788,52500.0,2026,February,Phone,Electronics,70000
102,1000,Shannon Haley,103,1300.0,Shirt,Clothing,online,Bangalore,2025-05-30,3,NetBanking,0.15,Shannon54@gmail.com,7650606701,successful,S***@gmail.com,******6701,3315.0,2025,May,Shirt,Clothing,1300
103,909,Jacqueline Frye,105,45000.0,Tv,Electronics,online,Chennai,2025-09-05,3,Cash,0.35,JacquelineFrye@gmail.com,6054912895,successful,J***@gmail.com,******2895,87750.0,2025,September,TV,Electronics,45000
104,788,William Wright,107,50000.0,Dining Table,Furniture,offline,Bangalore,2025-06-30,2,UPI,0.15,WilliamWright@gmail.com,8502405393,successful,W***@gmail.com,******5393,85000.0,2025,June,Dining Table,Furniture,50000
105,713,Jason Griffin,107,50000.0,Dining Table,Furniture,online,Hyderabad,2026-02-26,1,NetBanking,0.05,Jason36@gmail.com,8944628007,successful,J***@gmail.com,******8007,47500.0,2026,February,Dining Table,Furniture,50000
106,54,Jessica Hernandez,105,45000.0,Tv,Electronics,offline,Hyderabad,2026-02-27,2,Card,0.05,JessicaHernandez@outlook.com,7144391854,successful,J***@outlook.com,******1854,85500.0,2026,February,TV,Electronics,45000
107,89,Joseph Davis,106,80000.0,Sofa,Furniture,offline,Hyderabad,2025-03-09,4,UPI,0.35,JosephDavis@yahoo.com,7335998548,successful,J***@yahoo.com,******8548,208000.0,2025,March,Sofa,Furniture,80000
108,724,Kimberly Winters,103,1300.0,Shirt,Clothing,offline,Chennai,2025-06-22,4,Card,0.35,Kimberly55@gmail.com,8442961493,successful,K***@gmail.com,******1493,3380.0,2025,June,Shirt,Clothing,1300
109,128,Ethan Porter,104,8000.0,Shoes,Clothing,online,Bangalore,2026-02-03,3,Card,0.2,EthanPorter@yahoo.com,6960954264,successful,E***@yahoo.com,******4264,19200.0,2026,February,Shoes,Clothing,8000
110,264,Kelli Johnson,107,50000.0,Dining Table,Furniture,offline,Bangalore,2025-08-25,2,Cash,0.2,Kelli81@gmail.com,9866676731,successful,K***@gmail.com,******6731,80000.0,2025,August,Dining Table,Furniture,50000
111,637,Kevin King,106,80000.0,Sofa,Furniture,online,Bangalore,2026-02-18,5,Cash,0.1,KevinKing@yahoo.com,8955005430,successful,K***@yahoo.com,******5430,360000.0,2026,February,Sofa,Furniture,80000
112,381,Melissa Garza,102,70000.0,Phone,Electronics,offline,Hyderabad,2025-09-14,1,Cash,0.15,MelissaGarza@gmail.com,6928004306,successful,M***@gmail.com,******4306,59500.0,2025,September,Phone,Electronics,70000
113,286,Carmen Sanders,108,15000.0,Mixer Grinder,Home Appliances,online,Hyderabad,2026-01-12,4,NetBanking,0.4,Carmen60@gmail.com,8828050019,successful,C***@gmail.com,******0019,36000.0,2026,January,Mixer Grinder,Home Appliances,15000
114,484,Eric Cabrera,101,250000.0,Laptop,Electronics,online,Bangalore,2025-04-07,3,NetBanking,0.25,EricCabrera@gmail.com,6116978733,successful,E***@gmail.com,******8733,562500.0,2025,April,Laptop,Electronics,250000
115,270,Katherine Shaw,107,50000.0,Dining Table,Furniture,online,Chennai,2025-12-16,1,Card,0.1,KatherineShaw@yahoo.com,9069927908,successful,K***@yahoo.com,******7908,45000.0,2025,December,Dining Table,Furniture,50000
116,756,Juan Mata,103,1300.0,Shirt,Clothing,online,Bangalore,2025-11-22,4,NetBanking,0.2,JuanMata@yahoo.com,6819524818,successful,J***@yahoo.com,******4818,4160.0,2025,November,Shirt,Clothing,1300
117,937,Nicole Woods,107,50000.0,Dining Table,Furniture,online,Mumbai,2025-07-28,4,NetBanking,0.35,NicoleWoods@yahoo.com,9340979075,successful,N***@yahoo.com,******9075,130000.0,2025,July,Dining Table,Furniture,50000
118,206,Kevin Cox,105,45000.0,Tv,Electronics,online,Chennai,2025-04-18,1,UPI,0.4,KevinCox@outlook.com,9312735408,successful,K***@outlook.com,******5408,27000.0,2025,April,TV,Electronics,45000
119,822,Christine Rivera,101,250000.0,Laptop,Electronics,online,Hyderabad,2026-02-24,2,NetBanking,0.25,ChristineRivera@yahoo.com,6691516621,successful,C***@yahoo.com,******6621,375000.0,2026,February,Laptop,Electronics,250000
120,618,Alan Torres,110,45000.0,Microwave,Home Appliances,offline,Chennai,2025-09-23,5,Card,0.25,AlanTorres@yahoo.com,7353183305,successful,A***@yahoo.com,******3305,168750.0,2025,September,Microwave,Home Appliances,45000
121,175,Shelby Casey,109,65000.0,Refrigerator,Home Appliances,offline,Hyderabad,2025-05-30,1,Card,0.25,Shelby95@gmail.com,8155671133,successful,S***@gmail.com,******1133,48750.0,2025,May,Refrigerator,Home Appliances,65000
